[2017-11-18 03:52:23] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:08:57] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:08:58] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:09:00] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:09:13] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:10:18] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:10:27] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:12:22] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:12:26] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:13:28] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:13:44] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:14:31] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:14:49] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:25:33] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:27:20] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:27:20] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:28:00] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:29:55] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:30:11] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:30:12] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:30:14] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:32:03] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:32:07] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:32:08] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:32:56] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:33:05] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:38:42] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:39:16] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:39:19] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:39:29] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:39:45] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:39:49] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:40:04] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:40:19] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:41:28] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:41:38] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:41:48] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:42:04] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:42:13] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:42:19] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:43:06] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:43:11] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:43:28] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:43:33] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:43:49] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:45:07] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:45:16] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:45:18] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:45:25] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:45:30] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:46:35] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:47:20] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:47:36] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:47:43] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:47:58] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:48:15] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:48:31] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:49:02] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:53:37] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 04:57:44] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:00:12] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:00:14] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:01:05] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:01:05] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:01:30] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:03:48] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:03:56] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:03:58] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:04:11] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:06:07] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:06:37] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:06:58] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:06:59] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:07:23] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:07:26] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

[2017-11-18 05:07:27] [128.72.188.108] Connect to data base - true; DB Name = admin_gtatop;

